Accession.Number,Genes,Protein.Description,Gan_b4_1,Gan_b4_2,Gan_b4_3,Gan_b4_4,Gan_b4_5,Gan_b4_6,Gan_b4_7,Gan_b4_8,Gan_b4_9,Gan_b4_10,Gan_b4_11,Gan_b4_12,Gan_b4_13,Gan_b4_15,Gan_b4_16,Gan_b4_17,Gan_b4_18
P55011,SLC12A2,Solute carrier family 12 member 2 OS=Homo sapiens OX=9606 GN=SLC12A2 PE=1 SV=1,262296.9752,260247.1141,263644.1638,268253.5755,278705.685,273621.6442,285782.304,260897.5517,257547.1125,274104.1813,290005.329,273259.5678,275710.7732,244950.4642,278326.8094,283396.3182,264602.7748
Q8WXD9,CASKIN1,Caskin-1 OS=Homo sapiens OX=9606 GN=CASKIN1 PE=1 SV=1,109113.8423,101852.4148,107002.2453,119613.8183,108252.4717,115545.4368,138922.1584,135680.1444,149867.0018,85375.15605,152249.0062,102663.9405,98842.48935,101708.5114,74213.45023,117236.5754,93577.61864
Q5TF21,SOGA3,Protein SOGA3 OS=Homo sapiens OX=9606 GN=SOGA3 PE=3 SV=1,325144.5711,343945.5787,354614.8926,357290.2984,316404.8349,283887.8078,323884.1516,361501.0094,398724.7169,333669.3928,446983.8389,386865.297,375760.6686,364128.8084,294288.9536,329531.8509,321553.806
Q9Y4H2,IRS2,Insulin receptor substrate 2 OS=Homo sapiens OX=9606 GN=IRS2 PE=1 SV=2,72182.04117,72683.72332,76876.7771,81920.70951,80889.99717,83453.37931,95539.57112,97593.13011,122719.2993,57632.56802,103607.3233,66412.15418,73489.85935,83424.48154,69290.35465,109170.172,70063.99663
P36578,RPL4,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,1050281.649,1009924.127,1043434.381,1015757.555,1037980.039,1016379.347,970514.3505,930719.9041,913855.3372,1102762.31,991020.3967,940768.0636,1077126.711,918342.9595,980931.1813,902477.0537,958692.8088
Q6SPF0,SAMD1,Sterile alpha motif domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SAMD1 PE=1 SV=1,122555.0052,172736.4093,105775.2995,144956.2979,157002.3502,156181.15,169466.4001,177880.1943,189809.815,165202.5901,196719.7894,147014.0471,188887.2144,203592.6164,151844.0261,182005.3282,163343.9183
Q8WUQ7,CACTIN,Splicing factor Cactin OS=Homo sapiens OX=9606 GN=CACTIN PE=1 SV=3,61302.23189,87689.7171,99399.43046,81409.8514,106196.7795,100229.6111,112960.9981,96011.35872,109359.1523,111911.0063,112170.9131,111502.7116,92142.43064,92150.55344,109835.0243,113812.2782,81302.96045
Q9P258,RCC2,Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,450232.9491,446760.1048,435329.3546,426850.8673,465291.206,521880.2282,453800.2002,439793.8639,358228.7807,458253.621,378225.2647,360966.0993,430154.427,400249.0187,493471.1716,408745.362,461784.1163
P52701,MSH6,DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2,294751.6421,298628.5751,275862.006,279701.2043,288205.9231,291919.0398,262498.3611,290342.1172,249688.1304,276765.5728,236795.8301,226730.6444,276010.4702,278831.2356,301785.2993,250583.8446,286377.9253
Q9BQE4,SELENOS,Selenoprotein S OS=Homo sapiens OX=9606 GN=SELENOS PE=1 SV=3,112856.4564,125489.8288,97627.7817,105259.6852,122386.0654,146580.9161,92075.6078,125857.093,120466.8274,119953.8997,133100.5452,119072.6904,110798.8633,143167.7692,187849.1634,159043.0121,106511.4221
O60518,RANBP6,Ran-binding protein 6 OS=Homo sapiens OX=9606 GN=RANBP6 PE=1 SV=2,193574.7059,195124.0192,195231.4079,183068.975,191375.0335,183932.7067,191509.1848,193514.6052,209393.9117,176469.8025,191607.594,196403.5158,185568.5167,215678.6902,197851.3899,205250.1485,193313.9521
Q96GQ5,RUSF1,RUS family member 1 OS=Homo sapiens OX=9606 GN=RUSF1 PE=1 SV=2,363777.5307,388423.3823,372158.8891,378369.6118,364327.0996,371754.2229,370414.9201,409910.0354,411264.7952,364855.7551,374750.5825,386996.3181,378218.6621,388971.9133,410462.6928,380325.7963,377996.454
P59768,GNG2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Homo sapiens OX=9606 GN=GNG2 PE=1 SV=2,408378.0942,414550.0348,425045.1993,432992.8616,395650.8648,353801.6155,382705.3596,388895.3273,395304.8952,492785.4708,659942.5713,527197.0876,453217.2116,386505.337,367176.4005,457089.1854,358656.1304
O95159,ZFPL1,Zinc finger protein-like 1 OS=Homo sapiens OX=9606 GN=ZFPL1 PE=1 SV=2,414859.0593,356175.1441,402587.1336,387642.7628,409931.4422,347239.2486,503615.2031,411219.1728,296487.3333,441391.8711,368615.892,434317.6884,369757.1104,332897.9637,292393.3055,292129.7497,291331.2699
Q6P2E9,EDC4,Enhancer of mRNA-decapping protein 4 OS=Homo sapiens OX=9606 GN=EDC4 PE=1 SV=1,313141.7945,324959.5711,322415.894,321796.8816,329821.5089,330528.1257,315524.6253,335887.6743,331833.2253,350884.2364,341947.079,347019.077,353835.5383,325967.2662,349941.0694,351671.5656,346467.8392
Q9UNF1,MAGED2,Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2,173980.9552,178658.6803,181982.1213,174632.3782,168078.614,159986.502,154113.1049,161518.9067,165520.6351,168112.2484,175630.5676,159699.6572,179764.0285,163872.7493,172822.5293,152903.2292,153311.8036
Q9NQP4,PFDN4,Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1,401980.6149,382566.5366,405354.3431,399470.3638,383676.8211,389888.1861,477163.7267,434661.0723,488020.114,323467.6007,409870.6259,385810.6265,352973.2616,405726.0052,385980.027,465259.5361,406093.7843
P07954,FH,"Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3",881415.1233,898469.0644,891301.4331,894602.9871,895614.1865,862354.4406,881669.4253,885600.2323,857126.6626,940586.1218,879773.4479,954711.6013,881607.3034,880650.4201,886517.9056,903918.4059,896408.1406
O94826,TOMM70,Mitochondrial import receptor subunit TOM70 OS=Homo sapiens OX=9606 GN=TOMM70 PE=1 SV=1,423668.0883,434202.7658,437936.3372,425356.0592,423952.63,406995.4964,413269.9415,412675.0654,402366.2185,467310.4391,466910.1822,463604.1515,448348.4268,425759.612,438645.6041,438380.0942,430966.4315
Q96L58,B3GALT6,"Beta-1,3-galactosyltransferase 6 OS=Homo sapiens OX=9606 GN=B3GALT6 PE=1 SV=2",120535.1633,141741.323,148953.5488,152160.9671,147833.497,133482.8463,139396.8109,127839.5633,159654.9818,149934.6745,143480.6365,168132.2134,139148.9209,165542.9745,148011.1079,129151.8935,141705.2737
Q9BQG0,MYBBP1A,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,277805.5305,284006.3399,256951.7024,262634.039,275489.3544,252768.4263,221569.6703,237372.5468,197261.5398,257647.486,205400.506,216675.709,248116.0789,219506.0822,220164.231,195427.205,215719.8373
P35221,CTNNA1,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1,150568.9562,165369.8107,148222.1031,153277.4825,178834.2556,179425.9688,181480.3674,208801.7858,173225.1992,203697.0272,168306.2026,170597.8318,197564.4186,220368.6076,244278.9621,212271.7105,227967.973
Q9GZT9,EGLN1,Egl nine homolog 1 OS=Homo sapiens OX=9606 GN=EGLN1 PE=1 SV=1,94139.19364,78328.1278,91789.90658,94850.46231,93655.6769,82473.94399,94481.36418,93459.99211,97088.67497,79227.139,110806.6215,94949.31455,85124.40184,98990.70566,80410.60588,89370.8029,93340.79406
O14497,ARID1A,AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3,178007.0759,177999.5218,178757.3243,185338.0812,182245.2086,154466.0684,169286.9767,166548.6558,166435.7196,184988.6018,217598.0881,196696.2926,183686.6688,146234.6733,138508.6878,165478.5792,145310.1224
P0DMV9,HSPA1B,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,1313182.729,1171630.289,1289269.558,1223606.653,1224639.176,1263412.972,1414075.148,1339172.243,1403240.241,1190609.335,1482087.424,1247184.173,1264267.953,1366226.031,1227243.747,1486059.958,1385957.473
Q8TAE8,GADD45GIP1,Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens OX=9606 GN=GADD45GIP1 PE=1 SV=1,479197.7754,513280.5777,517679.9348,529769.4536,510754.0967,513758.1929,505759.4497,487388.8884,468855.2202,583318.2718,518577.5264,542133.9049,540342.7156,494294.3602,553716.714,490203.0942,502735.6373
Q8N0Z6,TTC5,Tetratricopeptide repeat protein 5 OS=Homo sapiens OX=9606 GN=TTC5 PE=1 SV=2,274232.4424,265738.7258,252724.0585,258746.9094,262299.5169,250837.1157,256983.5585,262423.7258,275458.6382,234287.1804,267279.7977,249091.675,250506.6419,247292.386,236613.6651,245660.8468,275497.4147
P31948,STIP1,Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,412947.3809,377143.918,402140.7402,382305.6948,379814.9257,387466.2405,429382.6598,417373.8637,462989.1968,384554.4069,399467.7029,416839.636,390783.2526,442204.2836,419226.5118,459420.4179,442557.8539
Q13423,NNT,"NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=3",807815.9269,835818.8673,810591.8194,821482.6046,832793.1665,856344.968,858423.2257,827558.4978,780868.4079,847624.1899,847591.8706,848528.5402,808939.6189,806196.4584,856519.2261,875531.036,869966.7338
Q12955,ANK3,Ankyrin-3 OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=3,195301.8352,202702.5223,204953.9601,219557.3278,203524.5467,178603.5784,193197.1444,194216.0252,208059.7916,193065.3089,278409.5522,229666.6855,204686.5032,185669.0602,163305.5628,199569.9024,174891.8112
P56945,BCAR1,Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens OX=9606 GN=BCAR1 PE=1 SV=2,195353.1712,183771.2134,197010.0791,196181.7501,189671.2068,195061.8562,223437.2272,194821.7785,207125.915,169610.9915,220111.5012,179454.1984,184498.9903,183850.5179,175412.4674,214410.3799,190265.9877
O60716,CTNND1,Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1,370633.9622,355619.2537,373425.2483,359261.9239,338938.9226,294862.4429,311263.5906,326258.5321,342454.281,333587.4782,419522.9937,384322.7783,358774.7876,313946.5853,287165.6266,309975.7071,291656.9768
